xxz,x (out of 300),y (out of 400),rotation,font size,font weight,# of words,# of characters,lines of text,alignment,caps or lowercase,,,NOTES:
1,11,26,8,16.25,medium,3,15,1,,C,,,Currently basing both font size and font weight off of Helvetica Neue placed on a 300pt x 400pt artboard
2,142,11,8,11.64,medium,1,9,1,,C,,,"Type weight: 1=light, 2=regular, 3=medium, 4=bold, 5=condensed bold"
3,17,86,23.69,49.74,medium,1,4,1,,C,,,
4,12,135,12.58,73.67,condensed bold,2,9,1,,C,,,
5,15,194,2.11,16.25,medium,1,11,1,,C,,,
6,141,190,2.11,16.25,medium,2,12,1,,C,,,
7,53,210,325.34,39.42,medium,1,6,1,,C,,,
8,142,280,325.34,27.46,medium,1,6,1,,C,,,
9,184,318,325.34,18.56,medium,1,6,1,,C,,,
10,228,353,325.34,11.46,medium,1,6,1,,C,,,
11,73,327,48.42,13,medium,3,22,1,,C,,,
12,43,321,330.55,10,medium,4,29,2,centered,C,,,
13,20,344,330.55,7.36,bold,6,30,2,centered,L,,,
1,55,34,279.54,4.02,bold,15,79,1,,L,,,
2,82,36,281.77,4.02,bold,12,76,1,,L,,,
3,100,36,283.67,4.02,bold,14,80,1,,L,,,
4,118,36,285.85,4.02,bold,14,80,1,,L,,,
5,129,36,288.54,4.02,bold,12,59,1,,L,,,
6,164,30,0,5.72,bold,2,8,1,,C,,,
7,266,263,270,4.02,bold,2,21,1,,C,,,
1,23,20,0,223.39,condensed bold,1,6,1,,C,,,
2,46,196,0,9.81,bold,4,28,1,,C,,,
3,46,216,0,19.18,bold,3,15,1,,C,,,
4,21,254,0,6.76,bold,4,20,1,,C,,,
5,35,267,0,7.87,bold,1,8,1,,C,,,
6,57,279,0,7.87,bold,1,8,1,,C,,,
7,97,292,0,7.87,bold,1,6,1,,C,,,
8,118,304,0,7.87,bold,1,7,1,,C,,,
9,152,317,0,7.87,bold,1,5,1,,C,,,
10,173,329,0,7.87,bold,1,7,1,,C,,,
11,205,342,0,7.87,bold,1,9,1,,C,,,
12,242,354,0,7.87,bold,1,6,1,,C,,,
13,251,366,0,6.76,bold,1,4,1,,C,,,
14,25,347,0,4.69,bold,8,53,2,left,C,,,
15,26,370,0,8.29,medium,3,14,1,,C,,,
1,0,120,27.99,176.54,condensed bold,1,1,1,,C,,,
2,68,96,36.01,13.75,medium,2,10,1,,L,,,
3,80,112,26.16,13.75,medium,3,19,1,,L,,,
4,91,133,16.35,13.75,medium,4,25,1,,L,,,
5,137,157,0,13.75,medium,2,10,1,,L,,,
6,151,177,0,13.75,medium,2,8,1,,L,,,
7,130,222,333.12,13.75,medium,2,6,1,,L,,,
8,117,256,319.37,13.75,medium,2,19,1,,L,,,
9,58,237,27.99,74.58,light,1,1,1,,C,,,
10,84,298,316.46,99.91,light,1,1,1,,C,,,
11,43,348,54.92,34.13,condensed bold,1,1,1,,L,,,
